time,far_angle
7.83333333,-0.022014791
7.86666667,-0.020180746
7.9,-0.014650966
7.93333333,-0.010968482
7.96666667,-0.009140513
8,-0.00729914
8.03333333,-0.003656291
8.06666667,-0.003649619
8.1,-0.003656291
8.13333333,-0.00183486
8.16666667,0
8.2,0.003669708
8.23333333,0.00549445
8.26666667,0.01281981
8.3,0.014677845
8.33333333,0.014677845
8.36666667,0.016573068
8.4,0.022095851
8.43333333,0.025776978
8.46666667,0.029511725
8.5,0.029457407
8.53333333,0.031239833
8.56666667,0.03118255
8.6,0.034848272
8.63333333,0.038513057
8.66666667,0.040419151
8.7,0.044170147
8.73333333,0.044089057
8.76666667,0.047757776
8.8,0.051519746
8.83333333,0.053258411
8.86666667,0.057133325
8.9,0.062764034
8.93333333,0.068159934
8.96666667,0.075363441
9,0.079024774
9.03333333,0.079169968
9.06666667,0.07888011
9.1,0.077053027
9.13333333,0.077053027
9.16666667,0.077194367
9.2,0.075363441
9.23333333,0.075501961
9.26666667,0.075501961
9.3,0.079315696
9.33333333,0.079315696
9.36666667,0.085136931
9.4,0.093014407
9.43333333,0.102064961
9.46666667,0.109633261
9.5,0.10983654
9.53333333,0.10983654
9.56666667,0.110040572
9.6,0.113739192
9.63333333,0.119281237
9.66666667,0.117872103
9.7,0.118092028
9.73333333,0.116017995
9.76666667,0.108190121
9.8,0.1011573
9.83333333,0.101727033
9.86666667,0.102110421
9.9,0.097022656
9.93333333,0.107074518
9.96666667,0.11003
10,0.109615772
10.03333333,0.10379234
10.06666667,0.100232244
10.1,0.102690933
10.13333333,0.096042714
10.16666667,0.082662839
10.2,0.090485823
10.23333333,0.09395334
10.26666667,0.09341755
10.3,0.097022656
10.33333333,0.101185814
10.36666667,0.105377439
10.4,0.098517243
10.43333333,0.111504679
10.46666667,0.123883408
10.5,0.122719864
10.53333333,0.138725818
10.56666667,0.14110151
10.6,0.141897055
10.63333333,0.138683354
10.66666667,0.117550782
10.7,0.175858182
10.73333333,0.18216831
10.76666667,0.205912032
10.8,0.207682533
10.83333333,0.205618471
10.86666667,0.216301619
10.9,0.228291587
10.93333333,0.238891782
10.96666667,0.22082877
11,0.221007667
11.03333333,0.230273841
11.06666667,0.229348152
11.1,0.234987684
11.13333333,0.230987447
11.16666667,0.225313366
11.2,0.232009222
11.23333333,0.227330904
11.26666667,0.218668946
11.3,0.222994519
11.33333333,0.218863574
11.36666667,0.210718755
11.4,0.207219805
11.43333333,0.216550305
11.46666667,0.210598406
11.5,0.207862728
11.53333333,0.180818595
11.56666667,0.18049576
11.6,0.18622284
11.63333333,0.193249074
11.66666667,0.176521765
11.7,0.170375111
11.73333333,0.176708856
11.76666667,0.195677939
11.8,0.200451578
11.83333333,0.199096817
11.86666667,0.177018415
11.9,0.187488129
11.93333333,0.192239194
11.96666667,0.183943457
12,0.176210817
12.03333333,0.176210817
12.06666667,0.183175221
12.1,0.183175221
12.13333333,0.179228207
12.16666667,0.175284444
12.2,0.173027125
12.23333333,0.176521765
12.26666667,0.174466987
12.3,0.154830647
12.33333333,0.173027125
12.36666667,0.175084061
12.4,0.149069063
12.43333333,0.177776494
12.46666667,0.148348578
12.5,0.168407925
12.53333333,0.161582571
12.56666667,0.174880013
12.6,0.171345116
12.63333333,0.171345116
12.66666667,0.174258035
12.7,0.174258035
12.73333333,0.1657383
12.76666667,0.162198833
12.8,0.165148677
12.83333333,0.168372582
12.86666667,0.165442968
12.9,0.184265699
12.93333333,0.171581337
12.96666667,0.168671857
13,0.153883219
13.03333333,0.158372116
13.06666667,0.146484178
13.1,0.145960008
13.13333333,0.129077244
13.16666667,0.129077244
13.2,0.127049195
13.23333333,0.121879195
13.26666667,0.122100207
13.3,0.114876605
13.33333333,0.118921496
13.36666667,0.122992288
13.4,0.121396423
13.43333333,0.130731588
13.46666667,0.117536918
13.5,0.114104784
13.53333333,0.112074511
13.56666667,0.110050793
13.6,0.10439847
13.63333333,0.098940586
13.66666667,0.100576917
13.7,0.098580514
13.73333333,0.098401455
13.76666667,0.105066225
13.8,0.099848995
13.83333333,0.094435932
13.86666667,0.101468507
13.9,0.103267701
13.93333333,0.103081609
13.96666667,0.099668652
14,0.103081609
14.03333333,0.099488958
14.06666667,0.096067011
14.1,0.085557051
14.13333333,0.083745279
14.16666667,0.081932956
14.2,0.081784381
14.23333333,0.083442165
14.26666667,0.086738339
14.3,0.084787198
14.33333333,0.079398734
14.36666667,0.081195418
14.4,0.081195418
14.43333333,0.079398734
14.46666667,0.079398734
14.5,0.079398734
14.53333333,0.075803837
14.56666667,0.072206976
14.6,0.073872548
14.63333333,0.07194767
14.66666667,0.068484788
14.7,0.066448789
14.73333333,0.061294962
14.76666667,0.066211318
14.8,0.064311904
14.83333333,0.064083256
14.86666667,0.062307835
14.9,0.064083256
14.93333333,0.06396954
14.96666667,0.06396954
15,0.058755823
15.03333333,0.06264195
15.06666667,0.056979254
15.1,0.056979254
15.13333333,0.058444005
15.16666667,0.058444005
15.2,0.058444005
15.23333333,0.048912006
